"","id","old_gene","old_left_pos","old_right_pos","new_gene","new_left_pos","new_right_pos","similarity","first_pos","second_pos","essentiel"
"1","ECK0001-JW4367","thrL",190,255,"thrL",190,255,"1",193,235,"False"
"2","ECK0002-JW0001","thrA",337,2799,"thrA",337,2799,"1",340,2779,"False"
"3","ECK0003-JW0002","thrB",2801,3733,"thrB",2801,3733,"1",2804,3713,"False"
"4","ECK0004-JW0003","thrC",3734,5020,"thrC",3734,5020,"1",3737,5000,"False"
"5","ECK0005-JW0004","yaaX",5234,5530,"yaaX",5234,5530,"1",5237,5510,"False"
"6","ECK0006-JW0005","yaaA",5683,6459,"yaaA",5683,6459,"1",5704,6457,"False"
"7","ECK0007-JW0006","yaaJ",6529,7959,"yaaJ",6529,7959,"1",6550,7957,"False"
"8","ECK0008-JW0007","talB",8238,9191,"talB",8238,9191,"1",8241,9171,"False"
"9","ECK0009-JW0008","mog",9306,9893,"mog",9306,9893,"1",9309,9873,"False"
"10","ECK0010-JW0009","yaaH",9928,10494,"satP",9928,10494,"1",9949,10492,"False"
"11","ECK0011-JW0010","yaaW",10643,11356,"yaaW",10643,11356,"1",10664,11354,"False"
"12","ECK0012-JW5001","htgA",10830,11315,"mbiA",10830,11315,"1",10833,11295,"False"
"13","ECK0013-JW0012","yaaI",11382,11786,"yaaI",11382,11786,"1",11403,11784,"False"
"14","ECK0014-JW0013","dnaK",12163,14079,"dnaK",12163,14079,"1",12166,14059,"False"
"15","ECK0015-JW0014","dnaJ",14168,15298,"dnaJ",14168,15298,"1",14171,15278,"False"
"16","ECK0017-JW5002","hokC",16751,16903,"hokC",16751,16903,"1",16772,16901,"False"
"17","ECK0020-JW0018","nhaA",17489,18655,"nhaA",17489,18655,"1",17492,18635,"False"
"18","ECK0021-JW0019","nhaR",18715,19620,"nhaR",18715,19620,"1",18718,19600,"False"
"19","ECK0024-JW0022","rpsT",20815,21078,"rpsT",20815,21078,"1",20836,21076,"False"
"20","ECK0025-JW5003","yaaY",21181,21399,"yaaY",21181,21399,"1",21184,21379,"False"
"21","ECK0026-JW0023","ribF",21407,22348,"ribF",21407,22348,"1",21410,22328,"False"
"22","ECK0027-JW0024","ileS",22391,25207,"ileS",22391,25207,"1",22394,25187,"False"
"23","ECK0028-JW0025","lspA",25207,25701,"lspA",25207,25701,"1",25210,25681,"False"
"24","ECK0029-JW0026","fkpB",25826,26275,"fkpB",25826,26275,"1",25829,26255,"False"
"25","ECK0030-JW0027","ispH",26277,27227,"ispH",26277,27227,"1",26280,27207,"False"
"26","ECK0031-JW0028","rihC",27293,28207,"rihC",27293,28207,"1",27296,28187,"False"
