id	flag	first_pos	second_pos	length	quality
21b81cbc-dc09-4139-8e83-264c3ca76c40	65	2301096	2303883	2788	280M1D113M1I377M1D563M1I346M1D20M1D43M
21b81cbc-dc09-4139-8e83-264c3ca76c40	129	2303883	2301096	-2788	182M1I22M1D125M1D248M1D119M2D14M3D328M1D102M1D51M1D11M1D2M1D188M3D24M3D3M1I2M3D30M1D61M1D14M1D102M
c3b5bf1e-c2b6-489e-9169-8d9a2e877770	65	561344	579866	18523	10S83M1D203M2D8M2D149M4I14M1D117M2I357M1D4M1I17M1D194M1I206M1I16M1D4M1D3M2I44M1I184M3D8M3I3M1D77M1I212M1D370M1I3M6D6M3D933M1I32M3I11M4D113M1D493M3D64M1I79M1I11M1D209M1D480M1I3M2D2M3I294M1I59M4D422M1I71M2D252M1I133M1I654M1I72M2D521M1D97M1I537M1D97M2I4M1D141M3D8M1I3M2D62M1I56M1D251M3D143M3I75M1D73M1I57M1I9M1I20M3D7M2I509M4D238M1I71M1D43M4D107M1D144M1D47M1D111M1I484M3D8M2I59M2I107M2I114M3D107M3I33M1D7M1I4M1I4M1I8M1I236M1D362M2I355M1I171M2D324M1D229M1D7M2I455M1D64M1D2M5I88M1D15M1D57M1D252M1D31M2I28M1D217M1D433M1D8M1D251M1D83M1I197M2I97M1I5M2D100M1I20M5D29M3D26M1D143M3I7M1I265M1D134M4D2M1D16M1I6M4D2M1D195M1I31M3D23M1I69M1I274M3D2M1I183M2D31M1D30M2D7M1D356M1D68M3D343M1I178M1I1M2D119M
c3b5bf1e-c2b6-489e-9169-8d9a2e877770	129	579866	561344	-18523	70M1I56M1D106M4I6M9D134M1D258M3I239M2D5M4D4M1D190M1D52M4D51M1I193M3I9M2D24M1I5M4D353M1I104M2D173M3I388M1D9M3I42M2I14M2I36M1I5M3I5M1D20M2D19M3I63M1D52M5D5M1I41M2D5M1D165M1I24M1D310M1I86M1D50M2I4M2D97M3D9M2I54M1I7M1I45M1I331M2D46M2D31M1I187M2D166M1I89M1D85M1I39M1I196M1D144M3D107M1D11M1I42M2D289M3D52M1I91M1D23M1I1M2D90M1D11M1I12M1I78M1I47M1D7M1I14M1D269M1D159M3I62M1D53M1I153M1D52M3I3M1I77M2I447M1I347M3I397M1D75M1D156M1D164M1D183M3D71M1D377M1I457M1I323M1D32M2D369M1D76M2D9M2I6M1D866M1I300M4D104M2D11M2I145M1I79M2D50M2D27M2D326M1D183M1I20M1D84M3I25M3D23M2I31M1D22M1D110M1I56M4D16M3I4M1D4M2D5M1I5M1D16M1I13M1I137M4D30M1D192M3I29M3D33M1D17M2I710M1D25M1D49M3D8M2D6M1I5M2I16M3I3M1D38M1I215M1D7M2I354M2I13M1D5M1D249M1D522M
6faba87d-c453-4065-8c06-3505d9e95006	117	573653	573653	0	*
6faba87d-c453-4065-8c06-3505d9e95006	185	573653	573653	0	41M1I901M1D7M1D5M2I69M1D120M1I48M2D532M1D408M1I58M1I234M1D78M3D42M1I5M1I190M1I126M1D73M1I113M1D5M1I241M1D80M1D159M5I375M2D560M1I1001M
eec1f732-701f-436b-8fdf-add6b993edef	113	2303882	2290281	-17244	159M2D21M1I1M5D13M1D37M5I122M1D4M3D4M2D71M4D47M1D18M1D17M1D98M1I63M1D4M1D23M1D27M2D4M3D483M1I15M5D276M1D150M1I6M3D37M3I6M1D363M1I618M3I3M11D5M1I15M1I55M2D87M1D40M1I83M1D524M5I2M1D3M1D54M1D53M1D296M1D348M3I113M1D244M1D172M1D10M1I57M2I310M2I21M1D575M1I92M1D185M1I130M1I3M2D57M1I140M1D45M1D158M1D305M1I42M1D85M3D134M1D14M2D154M1D78M1I624M1D10M1D410M1D46M1D19M1D80M4D217M2I447M1D272M2D35M1D4M1D18M1D12M2I2M1I109M1D371M3D9M1D104M1D307M1I15M4D5M1D8M2D3M3D237M1D29M1D403M2D114M1D239M1I68M3I2M1D16M3I76M1I34M3D153M1D44M2D52M1D75M1D37M4D5M3D2M1I47M3I235M9D27M1D10M1D49M2I58M1I326M1I65M3D83M1D301M3D4M5D175M1D16M1D73M1I16M1I1M2D102M1I22M2I159M1D40M1D29M2D10M5D17M1D10M3D97M3I37M2D15M2D61M1I6M1I34M1I2M1I35M4D33M1D8M7D94M1I140M2D277M2D3M1I4M2D205M2D27M1I2M1I7M2D17M1I6M1D8M2D29M1D6M2D2M3D41M1I30M1I4M1D2M4I156M1I422M1D122M1I97M9S
eec1f732-701f-436b-8fdf-add6b993edef	177	2290281	2303882	17244	75M4D14M1D58M1D13M1D9M1I2M4D119M1D2M3D45M8D7M3I317M1I95M4I27M2I6M1D179M1D2M3I131M1D4M1I95M1I49M3D2M2I9M1I177M2I54M1D8M2D484M1I1M2D12M3I178M1I926M2I5M1D4M1D3M3D18M2D537M1I497M1I100M1I59M1D245M1I17M2I130M1D596M1I2M2D39M1I43M1D69M2D282M2D2M1I7M1D2M1D283M3D9M1D192M1D3M1D175M4D248M7D19M1D62M3D133M1D125M2I131M1D119M1D275M1D33M1D2M1D15M1D340M1I20M1D314M1D136M1D176M1D72M1I105M1I2M2D32M1D9M1I7M1I110M1I121M3I361M2D73M1I35M1D5M1D14M2I5M5D3M2D3M1D141M1D31M1I4M1D1M5I382M1D45M3D42M1D914M1I52M6I23M1I5M1D502M2D22M2D216M2D247M1D106M1I6M3D39M1I26M5D74M3D33M
afd8cb8b-269f-4ea8-81c3-0cf739591283	113	4327758	4323513	-10939	20S14M2D29M2I22M3I70M3D14M11D5M2I11M2I15M1D69M3D199M1D25M1D4M1D40M1I47M1D59M1I128M1I92M1D4M1D12M1I6M2I29M1I77M1I44M1I20M1D123M2D18M1D5M2I6M2D3M2I222M5D2M2D2M4I115M5D2M8I14M1I13M2I90M1I25M1I16M1D62M2D70M1D50M4D31M1D257M1D94M1D191M1D114M1D22M2D64M1I2M1I104M2I54M3D4M1I96M1D99M1I8M1I33M1I22M2D36M3I66M1D13M1D39M1D22M1I71M4D129M1D104M1D15M3I68M1D26M1D17M1D28M2I7M1D6M1D40M1D14M1D21M1D104M1I4M1D16M1I27M3I7M1D31M2D161M1I66M1I39M2I54M1I216M2I5M1D70M1D87M1I154M1D23M1I32M1D42M2I28M1I27M1I14M28D28M1D26M1D12M1D47M1D132M1D29M1I33M1D39M1D130M2I20M1D134M1I25M2I2M1D87M1D29M1I145M2D14M3D3M7I16M1I23M1I21M1D74M2D89M1D28M1I9M1I30M2D27M1I88M1I2M3D4M1I32M1I130M1D101M1I38M1D3M3I2M1D5M1D12M1D64M1D29M1I3M3I22M4D107M1D57M1I32M1I163M1D16M1D82M1D7M1I27M1D43M3D33M1I4M1I1M3D116M1D8M1I154M1I7M1D8M2D7M3D5M1D49M1D168M1D12M1D39M1D21M1I2M2D27M2D50M1D8M2I36M1I34M1I11M2D268M1I32M1D7M2D11M1I7M4D17M1D30M1I32M1D76M1I23M2I70M5I3M1I35M2D58M1I61M1I24M1I5M1D32M1D60M1D36M1I7M3D8M1I1M2D90M2I104M1I3M2D67M1D8M1D125M2I73M2D35M1I6M2D378M2D59M1D5M
afd8cb8b-269f-4ea8-81c3-0cf739591283	177	4323513	4327758	10939	41M3D23M3D20M1D153M1I56M4D109M2D136M1I186M2I13M1I85M1I15M1I8M1I22M1I99M1D12M2D42M2D2M1D106M4D302M1I12M1D12M1I79M1I23M1D38M1I68M1I14M1I2M3D99M1D22M1I44M1D60M1D8M1D34M1I24M1I8M1D81M3D2M1I10M1D49M1D116M1D81M1I11M1I7M1D16M1D13M1D10M1I43M2I181M7I2M1I2M9D30M1I179M3I28M3D17M3D7M3D7M1D45M1D246M2I120M3D38M1D25M1I84M
3fe5fecd-c86b-4d6f-919e-69100c031dac	65	2301752	2303892	2141	9S200M1D6M2I215M2D157M2I218M1D290M
3fe5fecd-c86b-4d6f-919e-69100c031dac	129	2303892	2301752	-2141	11S28M1D11M1D55M1D326M1D259M1I7M1D65M1D88M2I163M1I6M1D217M2D152M1D61M8I5M12D4M3D308M1I1M3D409M1D34M3D7M1I4M1I49M3D12M5I3M4D12M1I15M3I3M5D38M1I5M1I365M2D10M2D210M3D3M1I77M1I78M3D100M1D101M2D62M1I54M1I26M1I7M1I85M1I233M1D192M1I236M1I7M1D1011M3D6M2D4M1I69M2I333M1D4M1I4M1D232M1D228M2D85M3D39M1I35M1I221M1I88M
db7bd2d0-b66f-4797-990f-b8ece72f339d	113	579865	578666	-1679	1298S135M1I138M1D73M1D54M1D329M2I221M27S
db7bd2d0-b66f-4797-990f-b8ece72f339d	177	578666	579865	1679	10M1I68M1D66M1I36M1D104M1I188M1298S
7bdacf46-6712-45f0-868f-62c12fcc834e	77	0	0	0	*
7bdacf46-6712-45f0-868f-62c12fcc834e	141	0	0	0	*
347d8193-8903-45d2-9c87-ddf49620ff6c	113	2303882	2300286	-7591	33M1D5M3D45M1D67M1I55M4I1M4D142M1I16M2D7M1I9M1D202M1I37M4D4M1I61M4I5M1D189M2I173M1D2M3I10M1D33M2D14M1I3M3I240M2I10M1I12M1D6M2D12M1D3M6I3M4D13M1I8M1I12M1D52M2D41M2D5M1D68M3D21M1D2M1D6M1D9M2I6M4I26M1I21M2D41M2I45M6D1M5I10M2D52M1I82M2I8M1I3M2I4M2D33M1I193M2I38M1D158M1I29M2I25M1I4M1I16M1I5M1I166M1D11M1I1M2D51M1I32M3I72M4I59M3I84M2D16M3D101M2D14M1I8M1I1M3D13M1D15M1I50M2D57M4I101M1D7M1D133M1D57M8D4M7I48M1I29M1I32M1I25M1D150M1D138M3I27M1I2M1I64M1D6M2D133M2D219M3D15M1D71M1D61M1I41M1D179M1I11M3D63M1D215M1D1M2I14M1D98M1D22M1D18M1I106M4D19M2I12M1D10M1D6M1I33M1I19M1I12M2D11M1I440M1I4M2D55M1D159M2D51M2D11M1D5M3I36M1I12M2D88M1D4M4D140M1I20M
347d8193-8903-45d2-9c87-ddf49620ff6c	177	2300286	2303882	7591	41M3D67M1I1M3D12M2I85M2D60M2D179M4D167M1D99M1I129M2D11M1D50M1D74M2D32M1I51M1D170M1D121M1I12M4D136M1I123M2I300M1D51M1D5M3D59M1I251M1D78M3I6M1I19M3I88M3D42M3S
94735620-f0c3-4cc6-8ce2-b4e11219e00b	65	2302529	2303883	1355	54S89M1D111M1I112M1288S
