"","id","gene","flag","first_pos","second_pos","length","quality","essentiel","init"
"1","ECK0001-JW4367","thrL",99,193,235,42,"50M","False","f"
"3","ECK0002-JW0001","thrA",99,340,2779,2439,"50M","False","f"
"5","ECK0003-JW0002","thrB",99,2804,3713,909,"50M","False","f"
"7","ECK0004-JW0003","thrC",99,3737,5000,1263,"50M","False","f"
"9","ECK0005-JW0004","yaaX",99,5237,5510,273,"50M","False","f"
"11","ECK0006-JW0005","yaaA",99,5704,6457,753,"50M","False","r"
"13","ECK0007-JW0006","yaaJ",99,6550,7957,1407,"50M","False","r"
"15","ECK0008-JW0007","talB",99,8241,9171,930,"50M","False","f"
"17","ECK0009-JW0008","mog",99,9309,9873,564,"50M","False","f"
"19","ECK0010-JW0009","yaaH",99,9949,10492,543,"50M","False","r"
"21","ECK0011-JW0010","yaaW",99,10664,11354,690,"50M","False","r"
"23","ECK0012-JW5001","htgA",99,10833,11295,462,"50M","False","f"
"25","ECK0013-JW0012","yaaI",99,11403,11784,381,"50M","False","r"
"27","ECK0014-JW0013","dnaK",99,12166,14059,1893,"50M","False","f"
"29","ECK0015-JW0014","dnaJ",99,14171,15278,1107,"50M","False","f"
"31","ECK0017-JW5002","hokC",99,16772,16901,129,"50M","False","r"
"33","ECK0020-JW0018","nhaA",99,17492,18635,1143,"50M","False","f"
"35","ECK0021-JW0019","nhaR",99,18718,19600,882,"50M","False","f"
"37","ECK0024-JW0022","rpsT",99,20836,21076,240,"50M","False","r"
"39","ECK0025-JW5003","yaaY",99,21184,21379,195,"50M","False","f"
"41","ECK0026-JW0023","ribF",99,21410,22328,918,"50M","False","f"
"43","ECK0027-JW0024","ileS",99,22394,25187,2793,"50M","False","f"
"45","ECK0028-JW0025","lspA",99,25210,25681,471,"50M","False","f"
"47","ECK0029-JW0026","fkpB",99,25829,26255,426,"50M","False","f"
"49","ECK0030-JW0027","ispH",99,26280,27207,927,"50M","False","f"
"51","ECK0031-JW0028","rihC",99,27296,28187,891,"50M","False","f"
"53","ECK0032-JW0029","dapB",99,28377,29175,798,"50M","False","f"
"55","ECK0033-JW0030","carA",99,29654,30779,1125,"50M","False","f"
"57","ECK0034-JW0031","carB",99,30820,34018,3198,"50M","False","f"
"59","none-JW0032","none",99,34107,34263,156,"50M","False","r"
"61","ECK0035-JW0033","caiF",99,34303,34675,372,"50M","False","f"
"63","ECK0036-JW5004","caiE",99,34802,35369,567,"50M","False","r"
"65","ECK0037-JW0035","caiD",99,35398,36268,870,"50M","False","r"
"67","ECK0038-JW0036","caiC",99,36292,37837,1545,"50M","False","r"
"69","ECK0039-JW0037","caiB",99,37919,39113,1194,"50M","False","r"
"71","ECK0040-JW0038","caiA",99,39265,40384,1119,"50M","False","r"
"73","ECK0041-JW0039","caiT",99,40438,41929,1491,"50M","False","r"
"75","ECK0042-JW0040","fixA",99,42406,43153,747,"50M","False","f"
"77","ECK0043-JW0041","fixB",99,43191,44109,918,"50M","False","f"
"79","ECK0044-JW0042","fixC",99,44183,45446,1263,"50M","False","f"
"81","ECK0045-JW0043","fixX",99,45466,45730,264,"50M","False","f"
"83","ECK0046-JW0044","yaaU",99,45810,47118,1308,"50M","False","f"
"85","ECK0047-JW0045","kefF",99,47249,47756,507,"50M","False","f"
"87","ECK0048-JW0046","kefC",99,47772,49611,1839,"50M","False","f"
"89","ECK0049-JW0047","folA",99,49826,50282,456,"50M","False","f"
"91","ECK0050-JW0048","apaH",99,50401,51220,819,"50M","False","r"
"93","ECK0051-JW0049","apaG",99,51250,51604,354,"50M","False","r"
"95","ECK0052-JW0050","ksgA",99,51630,52428,798,"50M","False","r"
"97","ECK0053-JW0051","pdxA",99,52448,53414,966,"50M","False","r"
"99","ECK0054-JW0052","surA",99,53437,54700,1263,"50M","False","r"
"101","ECK0055-JW0053","imp",99,54776,57107,2331,"50M","False","r"
"103","ECK0056-JW0054","djlA",99,57367,58159,792,"50M","False","f"
"105","ECK0057-JW0055","yabP",99,58477,59104,627,"50M","False","f"
"107","ECK0058-JW0056","yabQ",99,59124,59259,135,"50M","False","f"
"109","ECK0059-JW0057","rluA",99,59708,60344,636,"50M","False","r"
"111","ECK0060-JW0058","hepA",99,60379,63262,2883,"50M","False","r"
"113","ECK0061-JW0059","polB",99,63450,65778,2328,"50M","False","r"
"115","ECK0065-JW0063","araC",99,66877,67732,855,"50M","False","f"
"117","ECK0066-JW5005","yabI",99,67892,68582,690,"50M","False","f"
"119","ECK0067-JW0065","thiQ",99,68737,69412,675,"50M","False","r"
"121","ECK0068-JW0066","thiP",99,69419,71006,1587,"50M","False","r"
"123","ECK0069-JW0067","tbpA",99,71005,71965,960,"50M","False","r"
"125","ECK0070-JW0068","sgrR",99,72152,73784,1632,"50M","False","r"
"127","ECK0072-JW0069","setA",99,74111,75266,1155,"50M","False","f"
"129","ECK0073-JW0070","leuD",99,75356,75938,582,"50M","False","r"
"131","ECK0074-JW0071","leuC",99,75972,77349,1377,"50M","False","r"
"133","ECK0075-JW5807","leuB",99,77375,78446,1071,"50M","False","r"
"135","ECK0076-JW0073","leuA",99,78466,80014,1548,"50M","False","r"
"137","ECK0077-JW0074","leuL",99,80130,80193,63,"50M","False","r"
"139","ECK0078-JW0075","leuO",99,80858,81779,921,"50M","False","f"
"141","ECK0079-JW0076","ilvI",99,82120,83821,1701,"50M","False","f"
"143","ECK0080-JW0077","ilvH",99,83847,84315,468,"50M","False","f"
"145","ECK0081-JW0078","fruR",99,84518,85499,981,"50M","False","f"
"147","ECK0082-JW0079","mraZ",99,86124,86559,435,"50M","False","f"
"149","ECK0083-JW0080","mraW",99,86584,87502,918,"50M","False","f"
"151","ECK0084-JW0081","ftsL",99,87522,87864,342,"50M","False","f"
"153","ECK0085-JW0082","ftsI",99,87903,89646,1743,"50M","False","f"
"155","ECK0086-JW0083","murE",99,89656,91120,1464,"50M","False","f"
"157","ECK0087-JW0084","murF",99,91140,92475,1335,"50M","False","f"
